Product Line,Product Category,Date,Net Total Revenue,Net Product Revenue,Net Shipping Revenue,Cost of Goods Sold,Shipping Cost,Paid Order Count
softcover photo books,books,2019-10-23,"$1,232",$981,$251,$366,$144,34
wedding guest books,books,2019-10-23,"$1,079",$960,$119,$371,$90,7
thank you cards,cards,2019-10-23,$864,$757,$107,$226,$102,15
modern metal frames,frames,2019-10-23,$731,$643,$87,$327,$83,8
baby book,books,2019-10-23,$708,$619,$89,$315,$138,16
large format prints,prints,2019-10-23,$693,$564,$128,$166,$112,24
gallery frames,frames,2019-10-23,$575,$498,$77,$304,$93,7
framed canvas,frames,2019-10-23,$360,$294,$66,$134,$65,3
color series photo book,books,2019-10-23,$358,$291,$67,$81,$53,14
baby board book,books,2019-10-23,$276,$226,$50,$109,$28,12
save the dates,cards,2019-10-23,$216,$199,$16,$55,$14,3
brass easel calendars,calendars,2019-10-23,$186,$136,$49,$56,$63,5
wedding album design service fee,books,2019-10-23,$181,$181,$0,$102,$0,4
metal tabletop frames,frames,2019-10-23,$146,$118,$29,$51,$39,4
birth announcements,cards,2019-10-23,$140,$119,$20,$24,$27,3
wedding guest book set,books,2019-10-23,$139,$122,$17,$70,$16,2
float frames,frames,2019-10-23,$130,$116,$14,$49,$16,2
walnut print block,photo holders,2019-10-23,$116,$102,$13,$36,$6,2
calendar refills,calendars,2019-10-23,$112,$90,$22,$31,$15,5
signature prints,prints,2019-10-23,$105,$85,$20,$32,$14,4
brass & wood display box,photo holders,2019-10-23,$97,$84,$13,$37,$11,2
design your own cards,cards,2019-10-23,$89,$70,$19,$49,$40,3
wooden photo ledge,photo holders,2019-10-23,$60,$51,$8,$19,$12,1
wood calendars,calendars,2019-10-23,$53,$33,$19,$12,$11,2
wood block and prints,photo holders,2019-10-23,$51,$39,$12,$15,$10,4
walnut wood calendars,calendars,2019-10-23,$48,$29,$19,$9,$20,2
wood block refill packs,photo holders,2019-10-23,$28,$20,$8,$5,$5,3
baby book refill pack,books,2019-10-23,$21,$18,$2,$6,$3,2
holiday envelope seals,cards,2019-10-23,$19,$17,$1,$3,$1,2
solidwool calendars,calendars,2019-10-23,$18,$16,$2,$9,$2,1
wedding sample kit,cards,2019-10-23,$8,$0,$8,$20,$7,0
enclosure cards,cards,2019-10-23,$0,$0,$0,$49,$15,0
escort cards,cards,2019-10-23,$0,$0,$0,$6,$5,0
hardcover photo books,books,2019-10-24,"$4,516","$3,919",$597,$963,$593,56
layflat photo albums,books,2019-10-24,"$3,313","$3,073",$239,"$1,046",$198,19
everyday print set,prints,2019-10-24,"$2,477","$1,942",$535,$453,$356,121
wedding layflat photo albums,books,2019-10-24,"$2,305","$2,077",$228,$862,$170,15
baby book,books,2019-10-24,"$1,566","$1,359",$207,$629,$257,29
holiday cards,cards,2019-10-24,"$1,437","$1,317",$120,$422,$139,19
softcover photo books,books,2019-10-24,"$1,259",$976,$283,$359,$163,45
everyday photo books,books,2019-10-24,"$1,248","$1,026",$221,$349,$100,26
large format prints,prints,2019-10-24,"$1,122",$968,$154,$294,$163,22
thank you cards,cards,2019-10-24,$878,$789,$89,$245,$106,15
wedding guest books,books,2019-10-24,$641,$577,$63,$285,$61,6
save the dates,cards,2019-10-24,$520,$461,$59,$105,$42,4
color series photo book,books,2019-10-24,$461,$354,$106,$89,$67,18
baby board book,books,2019-10-24,$389,$315,$74,$172,$102,15
brass easel calendars,calendars,2019-10-24,$382,$315,$67,$155,$52,9
design your own cards,cards,2019-10-24,$366,$340,$26,$164,$39,6
gallery frames,frames,2019-10-24,$334,$282,$52,$135,$44,6
wedding album design service fee,books,2019-10-24,$281,$277,$3,$179,$1,6
modern metal frames,frames,2019-10-24,$276,$245,$30,$138,$32,3
float frames,frames,2019-10-24,$263,$234,$29,$97,$25,3
calendar refills,calendars,2019-10-24,$262,$217,$45,$76,$37,8
deep set frames,frames,2019-10-24,$194,$181,$13,$107,$30,2
wedding guest book set,books,2019-10-24,$174,$157,$16,$70,$14,2
wood block and prints,photo holders,2019-10-24,$155,$130,$25,$39,$16,6
birth announcements,cards,2019-10-24,$124,$109,$14,$22,$9,2
signature prints,prints,2019-10-24,$109,$87,$22,$32,$19,5
framed canvas,frames,2019-10-24,$106,$89,$16,$83,$11,1
metal tabletop frames,frames,2019-10-24,$71,$59,$11,$14,$13,2
wooden tabletop frames,frames,2019-10-24,$70,$59,$11,$25,$9,2
brass & wood display box,photo holders,2019-10-24,$66,$54,$12,$25,$13,2
wood calendars,calendars,2019-10-24,$62,$49,$13,$17,$10,4
wood cleat,photo holders,2019-10-24,$50,$40,$9,$21,$17,2
walnut wood calendars,calendars,2019-10-24,$46,$35,$11,$10,$8,3
walnut print block,photo holders,2019-10-24,$42,$30,$12,$10,$12,3
baby book refill pack,books,2019-10-24,$34,$27,$7,$9,$8,3
wooden photo ledge,photo holders,2019-10-24,$31,$26,$5,$8,$4,1
dust jacket refill,books,2019-10-24,$19,$8,$11,$2,$7,1
wood block refill packs,photo holders,2019-10-24,$11,$8,$3,$2,$2,1
wedding sample kit,cards,2019-10-24,$4,$0,$4,$10,$3,0
layflat photo albums,books,2019-10-25,"$7,124","$6,791",$333,"$2,213",$344,21
gallery frames,frames,2019-10-25,"$3,793","$3,539",$254,"$1,646",$476,9
hardcover photo books,books,2019-10-25,"$3,019","$2,632",$387,$669,$378,40
wedding layflat photo albums,books,2019-10-25,"$2,241","$2,065",$175,$816,$137,13
everyday print set,prints,2019-10-25,"$1,641","$1,276",$364,$327,$242,86
holiday cards,cards,2019-10-25,"$1,184","$1,097",$86,$380,$171,18
softcover photo books,books,2019-10-25,$935,$695,$239,$293,$134,35
thank you cards,cards,2019-10-25,$861,$774,$87,$245,$76,17
large format prints,prints,2019-10-25,$818,$677,$141,$213,$170,23
everyday photo books,books,2019-10-25,$817,$667,$150,$235,$70,17
baby book,books,2019-10-25,$750,$656,$94,$315,$96,14
metal tabletop frames,frames,2019-10-25,$377,$321,$57,$132,$44,6
baby board book,books,2019-10-25,$335,$261,$73,$126,$34,15
wedding album design service fee,books,2019-10-25,$269,$265,$4,$154,$1,6
signature prints,prints,2019-10-25,$219,$186,$33,$74,$28,7
color series photo book,books,2019-10-25,$217,$171,$45,$42,$27,10
brass & wood display box,photo holders,2019-10-25,$214,$183,$31,$102,$24,5
calendar refills,calendars,2019-10-25,$213,$173,$40,$55,$28,10
save the dates,cards,2019-10-25,$172,$159,$12,$38,$7,2
framed canvas,frames,2019-10-25,$144,$100,$44,$44,$28,1
modern metal frames,frames,2019-10-25,$134,$114,$20,$54,$16,3
wood block and prints,photo holders,2019-10-25,$120,$85,$35,$27,$29,8
wedding guest books,books,2019-10-25,$115,$85,$30,$37,$15,1
day-of detail cards,cards,2019-10-25,$101,$83,$18,$46,$26,1
wood calendars,calendars,2019-10-25,$86,$68,$18,$23,$12,5
brass easel calendars,calendars,2019-10-25,$60,$50,$10,$22,$8,2
birth announcements,cards,2019-10-25,$57,$39,$18,$16,$13,2
design your own cards,cards,2019-10-25,$45,$30,$14,$17,$14,1
wooden tabletop frames,frames,2019-10-25,$42,$35,$7,$13,$5,1
wood block refill packs,photo holders,2019-10-25,$33,$30,$3,$9,$2,1
dust jacket refill,books,2019-10-25,$24,$8,$16,$5,$24,1
walnut wood calendars,calendars,2019-10-25,$20,$18,$2,$6,$5,1
holiday envelope seals,cards,2019-10-25,$18,$16,$1,$3,$4,1
walnut print block,photo holders,2019-10-25,$8,$7,$1,$3,$1,1
baby book refill pack,books,2019-10-25,$7,$6,$1,$2,$1,1
wedding sample kit,cards,2019-10-25,$4,$0,$4,$10,$3,0
layflat photo albums,books,2019-10-26,"$2,859","$2,594",$265,$966,$222,19
wedding layflat photo albums,books,2019-10-26,"$2,653","$2,461",$192,$826,$136,17
hardcover photo books,books,2019-10-26,"$1,887","$1,677",$209,$361,$177,23
softcover photo books,books,2019-10-26,"$1,549","$1,323",$226,$526,$134,27
everyday print set,prints,2019-10-26,"$1,252",$935,$317,$244,$184,76
everyday photo books,books,2019-10-26,"$1,173",$982,$192,$336,$67,25
holiday cards,cards,2019-10-26,"$1,111",$974,$137,$249,$130,21
gallery frames,frames,2019-10-26,$795,$698,$97,$314,$101,9
thank you cards,cards,2019-10-26,$760,$692,$67,$199,$51,11
baby book,books,2019-10-26,$703,$614,$89,$275,$98,13
wedding guest books,books,2019-10-26,$603,$549,$54,$215,$31,6
large format prints,prints,2019-10-26,$460,$386,$73,$118,$53,18
framed canvas,frames,2019-10-26,$437,$391,$47,$178,$27,3
color series photo book,books,2019-10-26,$251,$206,$45,$58,$63,8
save the dates,cards,2019-10-26,$230,$217,$13,$54,$10,2
brass easel calendars,calendars,2019-10-26,$230,$185,$45,$87,$36,5
metal tabletop frames,frames,2019-10-26,$199,$160,$39,$65,$35,6
baby board book,books,2019-10-26,$196,$154,$42,$69,$15,10
birth announcements,cards,2019-10-26,$176,$152,$24,$39,$26,5
brass & wood display box,photo holders,2019-10-26,$158,$136,$22,$63,$21,5
float frames,frames,2019-10-26,$154,$134,$20,$63,$15,2
signature prints,prints,2019-10-26,$148,$128,$19,$48,$15,3
wedding album design service fee,books,2019-10-26,$131,$127,$3,$128,$1,3
design your own cards,cards,2019-10-26,$92,$79,$13,$33,$37,4
wood block and prints,photo holders,2019-10-26,$87,$67,$20,$21,$14,6
walnut wood calendars,calendars,2019-10-26,$76,$65,$10,$14,$9,2
modern metal frames,frames,2019-10-26,$75,$69,$6,$29,$12,1
brass easel + prints,photo holders,2019-10-26,$63,$52,$11,$18,$4,2
deep set frames,frames,2019-10-26,$37,$29,$7,$16,$6,1
wood calendars,calendars,2019-10-26,$33,$25,$8,$8,$3,2
wooden box,photo holders,2019-10-26,$29,$23,$6,$40,$5,1
baby book refill pack,books,2019-10-26,$29,$23,$6,$6,$6,2
calendar refills,calendars,2019-10-26,$25,$18,$7,$6,$5,2
wooden photo ledge,photo holders,2019-10-26,$25,$20,$4,$4,$5,1
walnut print block,photo holders,2019-10-26,$15,$13,$2,$3,$1,1
wedding envelope seals,cards,2019-10-26,$9,$5,$4,$1,$1,1
wedding layflat photo albums,books,2019-10-27,"$7,476","$7,047",$429,"$2,400",$343,30
hardcover photo books,books,2019-10-27,"$3,349","$2,949",$399,$656,$334,47
layflat photo albums,books,2019-10-27,"$2,615","$2,420",$195,$949,$191,20
holiday cards,cards,2019-10-27,"$2,116","$1,932",$184,$522,$191,31
everyday print set,prints,2019-10-27,"$2,035","$1,561",$474,$353,$297,108
everyday photo books,books,2019-10-27,"$1,578","$1,328",$250,$470,$107,33
softcover photo books,books,2019-10-27,"$1,355","$1,087",$267,$387,$140,40
thank you cards,cards,2019-10-27,"$1,264","$1,137",$127,$325,$115,21
baby book,books,2019-10-27,"$1,063",$931,$132,$413,$133,21
large format prints,prints,2019-10-27,$940,$784,$155,$229,$137,30
save the dates,cards,2019-10-27,$931,$872,$58,$270,$43,8
gallery frames,frames,2019-10-27,$591,$523,$68,$248,$56,7
metal tabletop frames,frames,2019-10-27,$542,$469,$73,$168,$61,11
color series photo book,books,2019-10-27,$512,$406,$106,$114,$63,19
design your own cards,cards,2019-10-27,$386,$343,$43,$125,$51,8
baby board book,books,2019-10-27,$350,$269,$81,$137,$66,13
wedding guest books,books,2019-10-27,$327,$292,$34,$116,$20,3
float frames,frames,2019-10-27,$318,$284,$33,$154,$52,2
brass & wood display box,photo holders,2019-10-27,$258,$230,$27,$99,$30,5
wedding guest book set,books,2019-10-27,$221,$176,$44,$100,$49,3
modern metal frames,frames,2019-10-27,$208,$182,$26,$83,$23,3
wooden tabletop frames,frames,2019-10-27,$194,$174,$21,$81,$19,4
brass easel calendars,calendars,2019-10-27,$164,$142,$22,$60,$18,4
wedding album design service fee,books,2019-10-27,$141,$140,$0,$128,$0,3
wood block and prints,photo holders,2019-10-27,$132,$103,$29,$33,$17,9
walnut wood calendars,calendars,2019-10-27,$123,$85,$38,$20,$32,5
wood calendars,calendars,2019-10-27,$105,$72,$33,$35,$33,5
wedding invitations,cards,2019-10-27,$87,$79,$8,$15,$7,2
walnut print block,photo holders,2019-10-27,$86,$60,$26,$16,$17,4
calendar refills,calendars,2019-10-27,$81,$60,$21,$19,$12,8
signature prints,prints,2019-10-27,$60,$51,$9,$21,$5,2
rsvp cards,cards,2019-10-27,$41,$38,$3,$12,$2,1
birth announcements,cards,2019-10-27,$37,$29,$8,$7,$6,2
brass easel + prints,photo holders,2019-10-27,$36,$28,$8,$9,$5,1
wooden photo ledge,photo holders,2019-10-27,$35,$31,$3,$11,$4,1
table numbers,cards,2019-10-27,$27,$20,$6,$8,$5,1
cork and brass,photo holders,2019-10-27,$14,$12,$2,$8,$1,1
baby book refill pack,books,2019-10-27,$11,$8,$3,$2,$5,1
wedding sample kit,cards,2019-10-27,$6,$0,$6,$15,$5,0
hardcover photo books,books,2019-10-28,"$4,781","$4,213",$568,$980,$510,54
wedding layflat photo albums,books,2019-10-28,"$4,213","$3,950",$263,"$1,545",$198,23
layflat photo albums,books,2019-10-28,"$3,455","$3,212",$243,"$1,266",$215,22
everyday print set,prints,2019-10-28,"$2,538","$1,874",$663,$466,$421,113
holiday cards,cards,2019-10-28,"$1,719","$1,557",$162,$432,$174,27
softcover photo books,books,2019-10-28,"$1,351","$1,048",$303,$442,$189,44
wedding album design service fee,books,2019-10-28,"$1,110","$1,110",$0,$716,$0,25
baby book,books,2019-10-28,"$1,064",$943,$121,$393,$118,16
large format prints,prints,2019-10-28,$996,$813,$182,$254,$122,31
wedding guest books,books,2019-10-28,$959,$836,$123,$332,$86,8
everyday photo books,books,2019-10-28,$901,$772,$129,$286,$41,19
gallery frames,frames,2019-10-28,$876,$751,$125,$448,$140,14
thank you cards,cards,2019-10-28,$745,$659,$85,$190,$85,18
metal tabletop frames,frames,2019-10-28,$640,$531,$108,$206,$99,13
baby board book,books,2019-10-28,$608,$479,$129,$235,$75,27
design your own cards,cards,2019-10-28,$580,$520,$60,$150,$50,11
save the dates,cards,2019-10-28,$533,$483,$50,$163,$48,5
wooden photo ledge,photo holders,2019-10-28,$430,$390,$40,$118,$34,6
modern metal frames,frames,2019-10-28,$355,$286,$69,$248,$97,7
color series photo book,books,2019-10-28,$338,$237,$101,$60,$65,13
brass easel calendars,calendars,2019-10-28,$288,$222,$66,$103,$40,7
brass & wood display box,photo holders,2019-10-28,$221,$192,$29,$89,$35,4
wedding guest book set,books,2019-10-28,$197,$157,$39,$85,$23,2
wooden tabletop frames,frames,2019-10-28,$175,$159,$16,$74,$15,3
birth announcements,cards,2019-10-28,$152,$137,$14,$30,$14,3
signature prints,prints,2019-10-28,$151,$118,$32,$48,$36,8
wood block and prints,photo holders,2019-10-28,$149,$104,$45,$33,$27,10
calendar refills,calendars,2019-10-28,$144,$107,$37,$35,$20,10
cork and brass,photo holders,2019-10-28,$75,$57,$18,$25,$10,1
enclosure cards,cards,2019-10-28,$74,$70,$5,$34,$3,1
framed canvas,frames,2019-10-28,$69,$63,$6,$33,$7,1
brass easel + prints,photo holders,2019-10-28,$56,$50,$6,$18,$2,1
wood calendars,calendars,2019-10-28,$52,$40,$12,$15,$7,3
escort cards,cards,2019-10-28,$49,$38,$12,$9,$6,1
walnut wood calendars,calendars,2019-10-28,$47,$29,$18,$9,$14,2
table numbers,cards,2019-10-28,$27,$20,$6,$8,$3,1
baby book refill pack,books,2019-10-28,$26,$21,$5,$6,$6,2
wedding envelope seals,cards,2019-10-28,$22,$20,$1,$3,$1,1
walnut print block,photo holders,2019-10-28,$19,$15,$4,$3,$2,1
stationery card set,cards,2019-10-28,$19,$15,$4,$5,$2,1
dust jacket refill,books,2019-10-28,$10,$7,$3,$7,$16,1
wedding sample kit,cards,2019-10-28,$8,$0,$8,$25,$7,1
wedding layflat photo albums,books,2019-10-29,"$6,941","$6,486",$455,"$2,364",$357,40
layflat photo albums,books,2019-10-29,"$6,314","$5,805",$508,"$2,154",$382,38
hardcover photo books,books,2019-10-29,"$6,210","$5,536",$673,"$1,374",$611,76
holiday cards,cards,2019-10-29,"$4,167","$3,722",$445,"$1,055",$442,67
everyday print set,prints,2019-10-29,"$3,788","$2,911",$876,$724,$583,189
everyday photo books,books,2019-10-29,"$3,261","$2,846",$414,"$1,126",$208,55
baby book,books,2019-10-29,"$2,182","$1,886",$295,$885,$347,43
softcover photo books,books,2019-10-29,"$1,600","$1,298",$302,$521,$204,46
large format prints,prints,2019-10-29,"$1,307","$1,110",$196,$358,$169,39
color series photo book,books,2019-10-29,$954,$743,$210,$223,$190,32
wedding guest books,books,2019-10-29,$937,$824,$113,$321,$80,8
modern metal frames,frames,2019-10-29,$872,$758,$114,$358,$73,8
thank you cards,cards,2019-10-29,$858,$767,$91,$221,$78,20
calendar refills,calendars,2019-10-29,$755,$623,$132,$199,$86,25
wedding album design service fee,books,2019-10-29,$565,$564,$0,$307,$0,13
metal tabletop frames,frames,2019-10-29,$559,$469,$89,$182,$112,12
baby board book,books,2019-10-29,$495,$387,$108,$218,$53,26
design your own cards,cards,2019-10-29,$486,$435,$51,$281,$59,9
gallery frames,frames,2019-10-29,$470,$412,$57,$191,$65,8
birth announcements,cards,2019-10-29,$415,$383,$32,$87,$41,6
brass & wood display box,photo holders,2019-10-29,$406,$351,$55,$170,$55,12
wedding guest book set,books,2019-10-29,$303,$269,$33,$174,$42,4
float frames,frames,2019-10-29,$297,$261,$35,$131,$42,3
signature prints,prints,2019-10-29,$281,$227,$54,$110,$79,11
save the dates,cards,2019-10-29,$260,$219,$40,$72,$31,4
wood block and prints,photo holders,2019-10-29,$205,$153,$52,$48,$33,13
brass easel calendars,calendars,2019-10-29,$185,$154,$31,$67,$20,5
wooden tabletop frames,frames,2019-10-29,$170,$133,$37,$62,$32,5
wood calendars,calendars,2019-10-29,$157,$107,$50,$38,$31,9
solidwool calendars,calendars,2019-10-29,$147,$136,$10,$64,$7,2
walnut wood calendars,calendars,2019-10-29,$108,$92,$17,$28,$13,4
deep set frames,frames,2019-10-29,$97,$79,$18,$41,$12,2
wooden photo ledge,photo holders,2019-10-29,$86,$76,$10,$31,$19,2
brass easel + prints,photo holders,2019-10-29,$78,$60,$18,$18,$15,2
baby book refill pack,books,2019-10-29,$75,$64,$11,$21,$15,10
walnut print block,photo holders,2019-10-29,$72,$56,$15,$16,$10,5
framed canvas,frames,2019-10-29,$60,$56,$5,$33,$6,1
wooden hanger,photo holders,2019-10-29,$46,$40,$6,$22,$3,1
escort cards,cards,2019-10-29,$36,$27,$9,$6,$5,1
table numbers,cards,2019-10-29,$23,$17,$6,$8,$3,1
wedding envelope seals,cards,2019-10-29,$17,$10,$6,$1,$5,1
wood block refill packs,photo holders,2019-10-29,$11,$8,$3,$2,$2,1
holiday envelope seals,cards,2019-10-29,$5,$5,$0,$1,$2,1
wedding sample kit,cards,2019-10-29,$2,$0,$2,$5,$2,0
layflat photo albums,books,2019-10-30,"$4,903","$4,521",$382,"$1,969",$306,23
hardcover photo books,books,2019-10-30,"$3,761","$3,295",$465,$794,$387,56
holiday cards,cards,2019-10-30,"$3,224","$2,966",$258,$838,$298,41
softcover photo books,books,2019-10-30,"$3,105","$2,826",$279,$884,$176,38
wedding layflat photo albums,books,2019-10-30,"$2,908","$2,644",$264,"$1,109",$217,19
everyday photo books,books,2019-10-30,"$2,897","$2,631",$266,"$1,102",$251,25
everyday print set,prints,2019-10-30,"$2,116","$1,632",$485,$409,$342,105
large format prints,prints,2019-10-30,"$1,402","$1,197",$205,$369,$189,34
wedding album design service fee,books,2019-10-30,"$1,032","$1,032",$0,$563,$0,23
baby book,books,2019-10-30,$954,$832,$122,$374,$144,19
gallery frames,frames,2019-10-30,$939,$804,$135,$440,$108,9
design your own cards,cards,2019-10-30,$699,$616,$83,$191,$85,13
baby board book,books,2019-10-30,$592,$456,$136,$235,$87,23
thank you cards,cards,2019-10-30,$586,$502,$84,$143,$69,12
wedding guest books,books,2019-10-30,$579,$532,$47,$247,$46,5
calendar refills,calendars,2019-10-30,$421,$355,$66,$108,$47,10
color series photo book,books,2019-10-30,$362,$299,$63,$90,$61,12
framed canvas,frames,2019-10-30,$338,$304,$33,$150,$26,3
signature prints,prints,2019-10-30,$307,$277,$30,$111,$51,7
deep set frames,frames,2019-10-30,$277,$244,$33,$109,$30,3
float frames,frames,2019-10-30,$258,$233,$25,$112,$34,2
brass easel calendars,calendars,2019-10-30,$220,$183,$36,$79,$34,7
walnut wood calendars,calendars,2019-10-30,$191,$150,$41,$42,$28,10
modern metal frames,frames,2019-10-30,$190,$164,$26,$76,$25,4
save the dates,cards,2019-10-30,$151,$123,$28,$34,$16,1
wooden tabletop frames,frames,2019-10-30,$123,$91,$32,$44,$31,3
brass & wood display box,photo holders,2019-10-30,$119,$100,$19,$49,$14,3
metal tabletop frames,frames,2019-10-30,$95,$73,$21,$12,$24,3
wood calendars,calendars,2019-10-30,$68,$54,$14,$15,$10,3
wedding guest book set,books,2019-10-30,$61,$53,$7,$32,$5,1
wood block and prints,photo holders,2019-10-30,$49,$36,$12,$12,$6,4
cork and brass,photo holders,2019-10-30,$48,$41,$7,$25,$3,2
baby book refill pack,books,2019-10-30,$40,$30,$9,$11,$29,3
brass easel + prints,photo holders,2019-10-30,$36,$28,$8,$9,$5,1
wooden photo ledge,photo holders,2019-10-30,$33,$27,$6,$8,$8,1
walnut print block,photo holders,2019-10-30,$32,$23,$9,$7,$4,2
birth announcements,cards,2019-10-30,$15,$11,$4,$3,$2,1
wedding sample kit,cards,2019-10-30,$4,$0,$4,$10,$3,0
wedding album design service fee,books,2019-10-31,"$5,279","$5,279",$0,"$3,403",$0,129
wedding layflat photo albums,books,2019-10-31,"$3,524","$3,274",$249,"$1,267",$213,19
layflat photo albums,books,2019-10-31,"$3,190","$2,922",$268,"$1,099",$216,22
hardcover photo books,books,2019-10-31,"$2,505","$2,185",$320,$533,$324,32
everyday print set,prints,2019-10-31,"$1,654","$1,268",$386,$302,$241,76
holiday cards,cards,2019-10-31,"$1,590","$1,459",$130,$476,$149,18
softcover photo books,books,2019-10-31,"$1,087",$886,$200,$305,$111,26
everyday photo books,books,2019-10-31,$872,$713,$159,$242,$61,21
wedding guest books,books,2019-10-31,$776,$686,$89,$276,$72,7
large format prints,prints,2019-10-31,$626,$541,$85,$199,$73,13
thank you cards,cards,2019-10-31,$625,$564,$61,$171,$59,11
baby book,books,2019-10-31,$587,$510,$77,$236,$74,11
gallery frames,frames,2019-10-31,$462,$404,$58,$209,$59,7
modern metal frames,frames,2019-10-31,$430,$383,$47,$175,$45,6
color series photo book,books,2019-10-31,$287,$223,$63,$63,$43,12
signature prints,prints,2019-10-31,$256,$208,$48,$84,$48,6
save the dates,cards,2019-10-31,$221,$170,$50,$46,$21,2
baby board book,books,2019-10-31,$220,$172,$47,$81,$19,10
wooden tabletop frames,frames,2019-10-31,$206,$182,$24,$78,$21,3
brass easel calendars,calendars,2019-10-31,$163,$114,$49,$47,$27,4
design your own cards,cards,2019-10-31,$155,$126,$29,$63,$20,5
wedding guest book set,books,2019-10-31,$137,$130,$7,$63,$5,1
framed canvas,frames,2019-10-31,$123,$110,$14,$61,$13,2
brass & wood display box,photo holders,2019-10-31,$83,$76,$8,$36,$10,2
metal tabletop frames,frames,2019-10-31,$79,$69,$10,$40,$11,1
wood calendars,calendars,2019-10-31,$78,$50,$27,$15,$16,4
calendar refills,calendars,2019-10-31,$71,$45,$26,$14,$15,5
walnut wood calendars,calendars,2019-10-31,$67,$50,$17,$17,$12,4
wedding invitations,cards,2019-10-31,$57,$52,$5,$18,$2,1
brass easel + prints,photo holders,2019-10-31,$34,$28,$6,$9,$4,1
wood block and prints,photo holders,2019-10-31,$30,$19,$11,$6,$7,2
walnut print block,photo holders,2019-10-31,$23,$18,$5,$7,$2,1
holiday envelope seals,cards,2019-10-31,$9,$9,$1,$1,$1,1
birth announcements,cards,2019-10-31,$8,$3,$5,$8,$5,1
baby book refill pack,books,2019-10-31,$7,$6,$1,$2,$1,1
wedding sample kit,cards,2019-10-31,$6,$0,$6,$15,$5,0
wedding layflat photo albums,books,2019-11-01,"$2,894","$2,679",$214,$903,$225,15
hardcover photo books,books,2019-11-01,"$2,789","$2,477",$311,$689,$301,33
holiday cards,cards,2019-11-01,"$2,182","$2,028",$154,$607,$153,28
everyday print set,prints,2019-11-01,"$1,772","$1,347",$425,$323,$255,86
layflat photo albums,books,2019-11-01,"$1,687","$1,519",$168,$616,$124,12
large format prints,prints,2019-11-01,"$1,386","$1,220",$166,$351,$128,24
baby book,books,2019-11-01,"$1,128",$946,$182,$433,$237,22
softcover photo books,books,2019-11-01,"$1,008",$877,$130,$274,$86,19
thank you cards,cards,2019-11-01,$926,$824,$101,$236,$86,19
wedding album design service fee,books,2019-11-01,$711,$710,$0,$486,$0,14
everyday photo books,books,2019-11-01,$606,$503,$103,$172,$43,13
wedding guest books,books,2019-11-01,$448,$412,$36,$160,$21,4
gallery frames,frames,2019-11-01,$370,$332,$38,$138,$42,3
save the dates,cards,2019-11-01,$339,$282,$57,$77,$27,3
color series photo book,books,2019-11-01,$330,$275,$55,$76,$54,10
modern metal frames,frames,2019-11-01,$229,$192,$37,$83,$26,5
signature prints,prints,2019-11-01,$202,$156,$46,$58,$37,6
calendar refills,calendars,2019-11-01,$200,$134,$66,$43,$39,14
framed canvas,frames,2019-11-01,$196,$169,$27,$77,$24,2
float frames,frames,2019-11-01,$191,$175,$16,$73,$19,1
metal tabletop frames,frames,2019-11-01,$178,$153,$25,$40,$28,3
cork and brass,photo holders,2019-11-01,$168,$144,$24,$58,$12,4
wood block and prints,photo holders,2019-11-01,$163,$116,$47,$36,$28,10
baby board book,books,2019-11-01,$138,$108,$29,$57,$25,8
walnut wood calendars,calendars,2019-11-01,$118,$85,$32,$20,$20,5
design your own cards,cards,2019-11-01,$114,$101,$12,$50,$12,3
enclosure cards,cards,2019-11-01,$88,$70,$18,$19,$11,1
brass easel + prints,photo holders,2019-11-01,$80,$70,$10,$26,$8,2
wooden tabletop frames,frames,2019-11-01,$73,$59,$14,$37,$15,2
escort cards,cards,2019-11-01,$71,$49,$22,$16,$9,1
brass easel calendars,calendars,2019-11-01,$68,$51,$17,$22,$9,2
walnut print block,photo holders,2019-11-01,$57,$47,$10,$13,$7,2
wood calendars,calendars,2019-11-01,$51,$36,$15,$12,$10,3
holiday envelope seals,cards,2019-11-01,$26,$22,$4,$4,$2,2
day-of detail cards,cards,2019-11-01,$23,$16,$7,$18,$18,1
baby book refill pack,books,2019-11-01,$7,$6,$1,$2,$1,1
wedding sample kit,cards,2019-11-01,$6,$0,$6,$15,$5,0
birth announcements,cards,2019-11-01,$6,$1,$5,$6,$4,1
brass & wood display box,photo holders,2019-11-01,$0,$0,$0,$12,$5,0
wedding guest book set,books,2019-11-01,$0,$0,$0,$32,$8,0
dust jacket refill,books,2019-11-01,$0,$0,$0,$2,$17,0
layflat photo albums,books,2019-11-02,"$3,409","$3,178",$231,"$1,020",$289,17
wedding layflat photo albums,books,2019-11-02,"$2,787","$2,641",$146,$833,$119,13
hardcover photo books,books,2019-11-02,"$2,659","$2,347",$312,$538,$271,37
holiday cards,cards,2019-11-02,"$2,189","$2,002",$187,$497,$163,28
everyday print set,prints,2019-11-02,"$1,678","$1,330",$347,$314,$216,83
everyday photo books,books,2019-11-02,"$1,578","$1,367",$211,$421,$123,21
thank you cards,cards,2019-11-02,$961,$856,$104,$221,$85,14
large format prints,prints,2019-11-02,$871,$711,$160,$214,$120,29
baby book,books,2019-11-02,$746,$639,$107,$275,$118,13
softcover photo books,books,2019-11-02,$608,$475,$133,$183,$72,26
color series photo book,books,2019-11-02,$417,$319,$98,$80,$92,17
wedding album design service fee,books,2019-11-02,$341,$340,$0,$230,$0,7
signature prints,prints,2019-11-02,$300,$248,$51,$89,$46,11
